Positive Melanoma Markers	Positive Brain melanoma Markers	All Distinguishing Markers
tomm6	fam210b	si:ch73-234b20.5
zgc:175088	CU469526.1	ppp1r18
naa20	adtrp1	nop56
ednrba	kmt5ab	ivns1abpa
mrps14	rnf175	fam49ba
tagln3b	plpp5	h1-0
adi1	dtd2	arpc4
ttk	hemgn	ndufs6
hps4	mxd3	mapre1a
cacybp	gipc2	si:cabz01074946.1
tmem243b	ywhag2	rps15
G3BP2	emc1	ogfrl2
phgdh	tfr1a	si:ch1073-429i10.3
mrps6	nrip1b	ankrd11
fnbp1l	ero1a	sri
si:ch211-270g19.5	slc39a6	si:dkeyp-85e10.3
prmt5	rgs13	zgc:103700
daxx	vamp4	gtpbp1
pef1	lman1	unc13d
nrp2b	gadd45ba	tuba8l2
mrps21	her15.1	sh2d1ab
rab34b	ckap4	elf1
fkbp1ab	si:ch73-208g10.1	mob1a
si:dkey-261h17.1	mesd	fermt3a
zgc:153115	pisd	dbx1b
racgap1	ncapd3	tiparp
gch2	ric8b	vaspa
eml2	hccsa.1	nmt1b
srsf10b	ggh	akr1b1.1
CABZ01079192.1	st7	psmb5
hint2	pane1	si:dkey-109a10.2
si:dkey-286j17.4	ubtd2	mdh1aa
psat1	hmbsb	nfkb2
l2hgdh	mgme1	fosb
col9a2	npas4a	mgst1.2
arl16	suv39h1b	ier5
dynll2b	vsir	rbm39a
polr2eb	tsen15	cnn2
rrp1	nr2f2	itgb2
st8sia6	elp5	birc2
nsun2	ppp1r35	riok1
si:ch211-266i6.3	gtpbp1	vmp1
si:dkey-68o6.5	gins3	metap1
dap	ncaldb	zswim5
epn3a	cd226	mrpl24
zgc:110540	pgm1	si:dkey-183i3.6
bloc1s4	dph6	si:dkey-1h24.6
stxbp6	egr2b	ndufs5
trappc3	apoeb	ncaldb
aaas	mark2b	samsn1a
myo5b	stk17al	dusp1
ubxn1	mydgf	ak2
p4ha1b	nr1d1	pleca
tns1b	naprt	serpine1
cttn	rbp5	rps9
mrps26	wrnip1	tnfrsf18
sdc2	rbp4	tmem243a
mcts1	ssna1	b3gnt5a
CABZ01058261.1	cyp3c1	ccng1
kti12	cpox	dbi
mrto4	pigf	TCIM
rp9	fam83d	rsrp1
znf622	capgb	hivep2a
kctd4	cx43	cdc42l
ccna2	tmem176l.3a	vat1
rpa2	prkab1a	ndfip2
C25H12orf73	cebpd	fam210b
igf2b	arl4aa	gpm6aa
cdca5	dnmt1	ip6k2b
rcn2	atp2a3	cpne1
chchd1	srgn	txnl4a
si:dkeyp-113d7.1	aurka	nop2
polr3gla	slc30a6	c1qc
tyrp1b	myh11a	hbbe1.1
ncapd2	TUBB4B	hbae1.3.1
cxxc5b	rtn4ip1	si:ch211-79k12.1
rock2b.1	ccsapb	mlpha
rit1	zgc:173552.3	rcan1a
slbp	them4	chmp4ba
paics	ndrg3a	ccl34b.8
aspm	bach2b	rhag
esd	atrip	celf2
cdk1	zgc:113054	hbbe1.3
fkbp2	si:dkeyp-26a9.2	ccnl1a
hoxa10b	selenon	elocb
nat10	wdr4	mid1ip1b
hars	galns	slc44a2
uck2b	zgc:158343	ndrg2
si:ch73-288o11.5	si:dkey-262k9.2	hspe1
nasp	lama4	csnk2b
