Positive Melanoma Markers	Positive Brain melanoma Markers	All Distinguishing Markers
		creg2
		ube3c
		smchd1
		slc25a14
		smad1
		gpx4a
		stard7
		nsd3
		ggctb
		dram2b
		ftr50.2
		dnpep
		mpped2a
		fstl3
		ube2h
		plod3
		hat1
		GPATCH2
		gss
		tipin
		pex14
		btk
		exosc8
		cbr1
		nedd4l
		txndc5
		sema4aa
		ccdc9
		siah1
		bckdha
		tmem203
		mob3c
		dhx37
		si:ch211-39k3.2
		klhl22
		wwp1
		rfc1
		arpc5la
		cyth4a
		cpsf1
		cfap36
		rpa1
		si:dkey-68o6.5
		nrarpa
		slc35g2a
		si:ch73-386h18.1
		ogdhb
		si:dkey-88j15.3
		myh9a
		golga4
		themis
		TOM1L2
		ptpn13
		stk10
		psat1
		tent5ba
		il2rgb
		st8sia4
		slc32a1
		micu1
		pigbos1
		chd5
		isy1
		col5a2a
		gata3
		alcama
		ctnna1
		zgc:194224
		ada
		trub2
		rdh14a
		ifrd2
		pip5k1ba
		slmapa
		amfra
		nansa
		ice1
		cand1
		zgc:123105
		rorab
		si:ch211-242b18.1
		erlec1
		si:ch211-218c6.8
		adsl
		ftr05
		zgc:153733
		si:dkey-95p16.2
		cbx8a
		brms1
		numa1
		mtmr14
		asb7
		trappc11
		ndst1b
		srrm4
		ccn2a
		cd8b
		zgc:109889
		setd3
		sdhaf2
		znf292b
		cwc25
		trip10a
		kcnma1a
		hyi
		si:dkey-93h22.8
		mettl17
		si:ch73-199g24.2
		fam193a
		tp53i11b
		zgc:174268
		dennd4a
		mrpl44
		fis1
		zbtb10
		raver2
		ttpal
		ephb3a
		znf687b
		rhogc
		smc6
		dapp1
		tkfc
		jac9
		hbbe2
		ftr91
		cyp2aa4
		im:7147486
		si:ch211-106e7.2
		zgc:113348
		smurf2
		skilb
		si:cabz01036022.1
		egr2b
		scg2b
		myo1g
		pold3
		slc37a1
		elovl6
		sdhaf4
		mrpl41
		ednrba
		mycla
		bcl9
		tmem198b
		sh3d21
		afg3l2
		cpsf3
		bin3
		ndufaf2
		plxna4
		si:ch73-226l13.2
		acadl
		sucla2
		rnaseka
		eed
		adcy7
		myo5aa
		pah
		gatad2b
		atl2
		tnfrsf11b
		cxcr4a
		amdhd2
		gbf1
		sorl1
		srebf2
		cdk5r2a
		ocrl
		lpar1
		si:dkey-178k16.1
		CABZ01068367.1
		ccny
		kansl3
		gpt2
		mfn2
		lclat1
		ttc1
		trim33
		lin52
		oxa1l
		prkd4
		ebf3a.1
		cited1
		ank3a
		plxnc1
		tyrp1b
		fbxo25
		ccndbp1
		yju2
		si:ch211-262i1.6
		mlxip
		dnph1
		pex19
		fermt2
		sh3gl2a
		stk11
		fam204a
		si:ch211-270g19.5
		med29
		tmem199
		gzm3.2
		herc1
		usp47
		scin
		fdx2
		uxs1
		ciao1
		ccnd1
		elac1
		gzm3
		stard3nl
		si:ch211-250k18.7
		tfb2m
		calua
		si:dkey-9i23.15
		tusc3
		ggh
		gclc
		klhdc4
		sec31a
		hoxa10b
		aqr
		pogzb
		igl4v8
		znf536
		ppp1r14c
		sncgb
		ifit11
		sptbn2
		fn1a
		EPB41L2
		ugdh
		erlin1
		si:ch211-183d21.1
		dkk3b
		gtf2f1
		smu1a
		vgf
		dpysl5a
		virma
		si:ch211-285c6.5
		efna1b
		fyna
		tm2d3
		pelp1
		rbm15
		bcl10
		ccdc137
		tcf20
		mrps5
		il11ra
		aldh1a2
		gtf2h3
		rwdd
		acvr2aa
		CABZ01081490.1
		si:dkey-263j23.1.1
		chkb
		nup107
		prcc
		papss2b
		gpr85
		sbds
		scaf11
		bloc1s6
		eea1
		rin3
		cfbl
		rybpa
		myl12.2
		gale
		spsb4b
		naa35
		robo2.1
		nfybb
		prkcq
		si:ch211-194e15.5
		ubxn6
		gpn3
		nr1d1
		rorcb
		spoplb
		c1galt1b
		htra1b
		gyg1b
		bsnb
		dhrs1
		si:dkey-28b4.8
		socs7
		dlx3b
		itsn1
		BX470259.2
		thoc5
		osgep
		pdgfrl
		atrnl1b
		syt2a
		pik3ip1
		ckap4
		bcl7ba
		znf740a
		MDFIC
		sms
		sertad4
		tex10
		mettl16
		si:ch73-109d9.3
		pik3ap1
		nrros
		kif5aa
		itpk1a
		coq5
		cplx2
		gad2
		zcchc10
		spred1
		stox2a
		slkb
		si:dkey-188i13.8
		si:dkey-7j14.5
		slc25a16
		ccdc80
		klf13
		tnfb
		pan3
		si:ch73-44m9.3.1
		tjp1b
		galnt2
		MRPL49
		faslg
		kin
		tp53bp2a
		dynlt1
		hapln1a
		atg16l1
		parp2
		epdr1
		nfasca
		mrc1b
		sin3b
		shoc2
		pfas
		sirt6
		slc9a7
		ntpcr
		si:ch211-203d1.3
		cnrip1a
		capn2b
		si:ch1073-296d18.1
		slc35f6
		znrf2b
		cdkn1cb
		ddx39b
		hddc3
		fuca1.2
		dph5
		hsp70.1
		plpp1a
		edc3
		tmem176
		tox3
		fhl2a
		CAPN1
		trnt1
		lrp1ab
		zgc:152863
		cxcl8a
		dennd3a
		zgc:109744
		si:dkey-58f10.10
		ccdc130
		cry5
		ahcyl1
		wipf2a
		faf1
		ntan1
		nudcd2
		si:dkey-68o6.6
		itpr3
		mafa
		si:dkey-10p5.10
		atp1b3a
		si:ch73-367j5.3
		atp10d
		slc2a3a
		prkchb
		thap4
		cers5
		spsb1
		wdr32
		ptbp2b
		cdc34a
		tpm2
		arhgap25
		ebf3a
		cyb5r1
		mcm3ap
		raraa
		zmp:0000001161
		slc38a3a
		igl1c3
		sox12
		celf1
		adnp2a
		fam174b
		pcdh10a
		notch3
		nsrp1
		coq9
		osbpl3b
		cog2
		col6a2
		ap4s1
		mroh1
		taf6
		tbpl1
		si:ch211-230g15.5
		tcirg1a
		cbx6a
		hgsnat
		ttc7b
		src
		c1qtnf4
		mrpl52
		hadhab
		yme1l1b
		si:dkeyp-69e1.8
		hephl1a
		prkd3
		rprd1a
		cluha
		pcdh17
		arpp21
		si:ch73-25f10.6
		chic2
		rpusd4
		aldh18a1
		plxdc2
		zgc:153659
		ube2d1a
		tex261
		etfdh
		atxn2
		ugcg
		zmp:0000000624
		tescb
		si:ch211-132g1.6
		luzp2
		scfd1
		smim20
		trir
		mical3a
		dvl2
		hivep3a
		tax1bp1a
		znhit3
		zgc:173570
		ppp6r3
		zgc:162472
		uba5
		usf2
		commd1
		cacul1
		ech1
		zgc:56235
		CR762483.1
		tpd52l2a
		itpa
		setdb1b
		zc3h10
		slc1a4
		CABZ01066694.1
		arhgap31
		map7d2a
		nrxn3a
		fam3c
		idi1
		atp6v1d
		rbm42
		pdgfra
		si:ch211-271b14.1
		gpatch3
		hoxa9b
		wee1
		usp32
		SGK3
		zgc:194443
		ctbp1
		usp25
		tpd52
		sh3glb2b
		si:dkey-111e8.5
		si:ch211-271g18.1
		s1pr1
		esco2
		hspb1
		slc16a3
		si:ch211-213a13.2
		si:dkey-75a21.2
		rrp9
		si:dkeyp-84f3.5
		rab3ip
		kmt5c
		si:ch73-376l24.6
		adipor1b
		zfand6
		arpin
		pld7
		nosip
		rnf38
		arl4ab
		slc30a5
		pcgf5b
		nubp2
		cyhr1
		fnta
		f11r.1
		snu13a
		gmip
		slc4a10a
		rmdn3
		rogdi
		zic3
		lta4h
		bpnt1
		plekha3
		stat4
		ctr9
		rhpn2
		si:ch211-213a13.5
		zcrb1
		FBXO46
		prkcea
		casp8
		casc4
		nr2f6a
		ncapd2
		rabac1
		exoc3
		gemin8
		emc9
		tfam
		tmem47
		slc40a1
		brd8
		SERP2
		pi4k2b
		acaa2
		msl2b
		nt5c3a
		sla1a
		hectd1
		znf770
		si:ch211-231f6.6
		eif4ea
		pgm1
		tcf7l2
		znf219
		BX897691.1
		dnm2a
		pole4
		bnip1b
		dop1a
		hprt1l
		gps1
		scaper
		pskh1
		znf576.1
		cpdp
		pcid2
		dcps
		slc6a22.1
		tmed8
		znf207b
		parp4
		IGLON5
		pdcd4a
		p4ha2
		mccc2
		rab39bb
		phf23b
		mark3b
		fut8a
		si:dkeyp-55f12.3
		msh6
		atp7a
		rfc2
		ptpa
		caskb
		SCARF2
		nuak2
		cnot2
		syne3
		gpx3
		ttc39c
		slc10a3
		plaa
		ipo11
		tram1
		snrnp48
		c19h1orf109
		kifc3
		kalrnb
		crlf1a
		si:dkey-21e2.10
		casp9
		uqcrc1
		mbtps1
		taz
		errfi1a
		olah
		prr14
		si:ch211-132b12.7
		COA4
		sec23a
		usp49
		acbd6
		si:dkey-263j23.1
		si:ch211-286o17.1
		elmod1
		psmd11b
		cct2.1
		zgc:153911
		cldni
		galnt11
		CABZ01046432.1
		tcea2
		zgc:194312
		dcaf12
		lrch4
		rbm25a
		furinb
		cdon
		rai1
		si:dkey-205h13.1
		nvl
		sgf29
		sec13
		cpeb4a
		vsnl1b
		caspb
		tmem230b
		umps
		fbxw7
		snx4
		dvl3a
		vcanb
		ppm1bb
		senp7b
		tshz3b
		slc25a36a
		myef2
		actn1
		atp13a3
		gatd1
		mus81
		C11H1orf50
		cdc14b
		col9a2
		mob1ba
		negr1
		akip1
		nexmifa
		afap1l2
		atad5a
		cdkal1
		ddx54
		aagab
		fryb
		col6a1
		atp1b1b
		fibpa
		si:dkey-9k7.3
		il15ra
		ddc
		dcn
		csnk2a2b
		rgmd
		prkcda
		glod4
		pcsk1nl
		akap1b
		mpped2
		hdac3
		rabgap1
		zgc:194578
		myclb
		ablim1b
		slc39a6
		grpel2
		get4
		zgc:122979
		asdurf
		adrb2a
		hps5
		dnajc21
		usp37
		si:dkeyp-113d7.10
		si:dkey-230p4.1
		aktip
		rasa4
		arhgap4a
		rhoj
		lhfpl6
		ppp1r26
		C5H9orf16
		rpn2
		pcca
		nab1b
		nptx1l
		ehmt1a
		atg9a
		tapbpl
		psme3ip1
		wdr45
		tmem39a
		WDR1
		ercc6
		mrps23
		eya3
		ankrd54
		get1
		rab40c
		si:ch73-236c18.8.1
		apmap
		rnf168
		si:ch211-194b1.1
		nf1a
		taok1b
		rab13
		cetn3
		zgc:171500
		ubn2a
		lypc
		dyrk1aa
		trabd
		zdhhc2
		tspan18a
		xirp2a
		mt-atp8
		trappc6bl
		lpar6b
		ch25h
		fgfrl1a
		aldh2.1
		manf
		si:ch211-107o10.3
		atp6ap1a
		cluap1
		agpat2
		cmbl
		oxsm
		tspan33a
		ccdc58
		CPNE8
		sema4ba
		zmp:0000000912
		acbd7
		dpcd
		snf8
		sec14l1
		ppm1da
		psd2
		ramp2
		rbbp5
		qdprb1
		rab34b
		tlcd2
		ttll7
		ap3b1a
		efnb2a
		bud13
		CABZ01061894.1
		cyp1a
		znf281a
		uba7
		pdcd7
		actr3
		n6amt1
		si:dkey-31f5.8
		boc
		foxk2
		irgq1
		phf12b
		stoml2
		shq1
		smn1
		tbx2b
		selenou1a
		badb
		pstpip1a
		rrm2b
		snap91a
		cyth3a
		sc:d217
		C20H1orf198
		kmt2d
		nol4la
		traf6
		cpsf2
		emc1
		glg1a
		snapc3
		ppp1r1c
		hsd17b12a
		triobpb
		rreb1b
		snapc5
		si:dkey-16l2.20
		BX120005.2
		cox16
		dnajc4
		csnk1e
		amer1
		capn1a
		mcee
		arid2
		mrrf
		mapk11
		cplx2l
		rnf11a
		brwd1
		pdik1l
		gins1
		nras
		urb1
		zdhhc16a
		serpinb14
		reep3b
		pbx2
		slc4a7
		si:dkey-71l4.4
		acsl1b
		exoc1
		esco1
		apba2b
		chchd4a
		yme1l1a
		rcn1
		hsd3b7
		cdh1
		kpnb1
		zgc:110796
		SYDE1
		lman1
		wu:fj16a03
		arcn1b
		dpm1
		pou3f3b
		agap1
		cpda
		cops3
		patl1
		arhgap11a
		msto1
		klf12a
		flrt3
		CAMK2N1
		ruvbl2
		hrasb
		ndel1a
		krt5
		clip2
		msl1b
		gopc
		gzm3.3
		clpp
		rangrf
		brd1a
		tspan7
		zgc:152774
		zc3h14
		nlk2
		ttc14
		sipa1l2
		tcea3
		LO018188.1
		insm1a
		dennd4c
		ciao2b
		aspn
		ccz1
		uqcc2
		cd226
		rbms2b
		natd1
		picalma
		alg11
		sap130a
		LO017815.1
		eml1
		pdxka
		pcdh7b
		gpr55a
		unga
		aida
		ctcf
		zgc:152891
		cry3b
		rgs2
		plpbp
		METTL18
		zgc:171686
		caly
		si:ch73-285p12.4
		skiv2l
		stk25b
		mapre3b
		trpt1
		tmem110l
		si:dkey-56i24.1
		tbc1d14
		nudcd1
		zgc:101583
		cmc2
		relch
		ezh1
		FO744833.1
		ncapd3
		pbxip1a
		pabpc4
		mocs2
		hps1
		tgfbr1b
		reep1
		sh3pxd2aa
		inppl1a
		rab3ab
		hnrnpdl
		ing3
		rnf11b
		stag2a
		lrrc8aa
		spred2a
		atp2b3a
		nr2f2
		acss2
		neurl1aa
		jakmip2
		rnd3b
		slc2a6
		foxp1a
		psme4b
		ube2q1
		pygmb
		caskin1
		hmgcs1
		ece2b
		slc25a43
		sh2b1
		rlf
		rnf181
		aamdc
		tent5bb
		supt3h
		mpv17l2
		si:ch73-252p3.1
		tbc1d15
		si:ch211-244c8.4
		prkcaa
		cbx3b
		pdgfab
		ddb1
		golga5
		coq8aa
		cryzl1
		trrap
		fzd2
		snap29
		gigyf1b
		gtf3c6
		znf451
		neurod1
		tet1
		tbcd
		rab21
		plaua
		trpc4apa
		pspc1
		gpn1
		tbl1x
		mthfd1l
		syngr3a
		si:ch211-150g13.3
		jak2b
		tmem39b
		letm1
		hhla2a.1
		dennd5b
		nudt2
		inpp5b
		zgc:110366
		kirrel3l
		jac2
		si:ch211-126i22.5
		sesn2
		nubp1
		creb3l2
		rpp30
		pcdh18b
		cd7al
		zgc:64065
		ighv1-4
		rbm38
		mgrn1b
		fgfr1op2
		ptpn23a
		unm-sa1614
		mcama
		C1H3orf70
		xpo1a
		rdh12l
		cald1b
		lsg1
		ints8
		xrcc4
		sh3tc2
		vrk2
		rac3b
		sec24c
		glipr1a
		thrb
		smarcc1b
		fmnl2a
		napaa
		ascc1
		rpp25l
		atf1
		rell1
		CU655842.1
		ets1
		pa2g4a
		il1b
		otub1b
		mybl2b
		si:ch211-195e19.1
		nol6
		kdm2aa
		gid8a
		si:dkey-238k10.2
		pdia6
		mlx
		cox20
		si:ch73-141c7.1
		sec22a
		rae1
		dnajc2
		fpgs
		ccl39.6
		flot2b
		grnb
		foxo3b
		adipor1a
		arih1l
		pdk2a
		wbp11
		fbxw4
		wasf3b
		nlrc3l1
		si:ch211-197g15.10
		zgc:92335
		si:dkeyp-72g9.4
		jade3
		rnf121
		maea
		exoc7
		ccnh
		zc2hc1a
		zgc:136870
		phlpp1
		mmadhc
		sipa1l3
		larp4b
		ufc1
		kif20bb
		def8
		fam20b
		mrpl47
		timm29
		FP102192.1
		pom121
		isoc2
		dtymk
		prrc1
		cog4
		triap1
		sphk2
		trim47
		derl1
		prodha
		lsm8
		mesd
		pgrmc2
		zmat5
		slc38a10
		lyrm7
		dusp4
		cdk5rap3
		C1H4orf33
		si:ch211-220f16.2
		ankhd1
		uso1
		slc9a6a
		nuggc.1
		sav1
		si:dkey-100n23.5
		lmbrd1
		apoc1
		eif4g3b
		maip1
		nr1h3
		klf9
		ctif
		slf2
		zgc:153990
		chtf8
		pafah1b3.1
		evla
		pja2
		bud31
		isca2
		thap7
		fbxo34
		opa1
		tecrb
		hirip3
		zgc:101130
		rnd1b
		gabpb2a
		sh3glb1b
		maff
		ppil1
		eef1akmt1
		rab12
		si:ch73-288o11.5
		ncf1
		picalmb
		raver1
		mtg1
		mdc1
		samd1a
		si:ch211-209l18.4
		snap91b
		si:ch211-195b11.3
		si:ch73-147o17.1
		si:dkeyp-115e12.7
		polr2gl
		shcbp1
		ubtd1b
		si:dkey-89b17.4
		grn2
		med4
		ipo4
		cdc37
		zbtb11
		atcaya
		msx1b
		kctd17
		txndc9
		rcc1l
		mtrr
		pigc
		si:dkey-17m8.1
		MEPCE
		tmc6b
		gpkow
		entr1
		ccdc88c
		tada3l
		poldip2
		znf644a
		rb1cc1
		pdss1
		parn
		eci2
		ppp1cab
		atp6v0a1a
		sgk2a
		gpr155a
		arhgef12a
		mon2
		FO704779.1
		wdr37
		cnot6l
		tiam2a
		dpp9
		snx11
		borcs8
		rhot1a
		specc1la
		ccdc22
		ap2a1
		nom1
		ccar1
		coq3
		cry2
		snx27a
		atxn7
		cybc1
		si:ch211-201o1.1
		ulk1b
		gga1
		GARRE1
		fahd2a
		prkx
		gmppaa
		gsdmea
		polr2b
		rab3il1
		hsf1
		clic2
		zgc:194101
		si:ch211-165d12.4
		tnip1
		nfkb2
		traf1
		si:dkey-262k9.2
		arhgdig
		srgn
		foxo1a
		sla2
		si:dkeyp-68b7.12
		tox
		nfkbie
		kctd5a
		bida
		cxcr4b
		wasb
		si:ch211-161c3.6
		si:dkey-1h24.6
		psmb12
		si:ch211-217k17.7
		si:ch211-153b23.7
		ptprc
		CABZ01054965.1
		psmb9a
		ly75
		si:ch211-194k22.8
		tnrc6a
		si:ch211-219a4.3
		calcoco2
		psmb8a
		cd4-1
		relb
		cyth1a.1
		il7r
		ifi35
		psmb13a
		phactr2
		tap2a
		si:dkey-109a10.2
		si:ch211-196f2.6
		ogfrl2
		fmnl1a
		il21r.1
		wnk1a
		C7H16orf87
		ctsl.1
		epsti1
		sh2d1ab
		zap70
		ksr1b
		si:ch211-217k17.12
		lcp2a
		ftr06.1
		tnip2
		si:dkeyp-75h12.7
		il17ra1a
		mapk1
		si:ch211-132g1.4
		snx11
		rgs18
		pdpk1a
		casp9
		si:ch211-217k17.11
		baxb
		nub1
		ccdc50
		fnbp1b.1
		tbc1d10c
		CABZ01046997.1
		hpse
		si:ch211-197h24.9
		rasgrp4
		capn7
		si:ch211-67e16.3
		tnfaip8l2b
		plekhf1
		tap1
		CABZ01081490.1
		si:ch211-217k17.10
		glb1
		trim35-3
		klhl6
		map3k8
		si:ch211-119e14.1
		gabarapa
		si:ch211-284e13.12
		cd83
		tapbp.1
		si:dkey-29h14.10
		cetn4
		si:ch211-132g1.6
		si:ch211-79k12.1
		ehbp1l1b
		gzm3
		si:ch211-105j21.9
		zmp:0000001161
		psme2
		arhgap45b
		map3k14a
		sema4aa
		il10ra
		CABZ01008730.1
		ccr9a
		scgn
		btg1
		unc13d
		si:ch211-284e13.9
		itm2bb
		tnfrsf18
		hmgn3
		b2m
		wee1
		pfn1
		si:ch211-284e13.14
		baxa.1
		si:ch211-1a19.3
		FO744833.2
		cica
		mkrn1
		FO704779.1
		si:ch73-248e21.5
		si:ch73-248e21.7
		dusp2
		calm1b
		ikbkg
		si:ch211-214p13.9
		zgc:136605
		birc2
		rac2
		psmd10
		setbp1
		si:ch211-244b2.3
		sypl2b
		dop1b
		si:dkey-27i16.2
		zgc:113314
		b2ml
		hbp1
		pbxip1b
		batf3
		zgc:64051
		parp8
		laptm5
		fmnl3
		tagapa
		bcl2l10
		ipcef1
		chmp1b
		st3gal3a
		skap1
		fas
		rasal3
		LECT2
		prr14
		bcl2a
		chmp4ba
		il21
		lipia
		rgs13
		rab8b
		crip1
		rnf213a
		si:dkeyp-85e10.3
		hcst
		mhc1zba
		ciita
		irf2
		ankrd33ba
		ptpn11b
		pde7a
		crfb4
		traf2b
		mob1a
		rras
		si:dkey-112a7.4
		acp5b
		tradd
		si:ch211-281l24.3
		FIBCD1
		slc44a2
		slc25a43
		si:dkey-156m2.3
		ypel1
		khnyn
		cylda
		ftr70
		pik3c2b
		cited4b
		gig2d
		glrx
		zgc:171500
		si:dkey-100n23.5
		cdc42l
		stat4
		msrb3
		tnfsf18
		si:dkey-260g12.1
		tcf7
		si:cabz01093077.1
		mavs
		ubc
		si:ch211-33e4.3
		tyk2
		prkar1aa
		grb10b
		cd74b
		ubtd1b
		cd82b
		CT583625.5
		znf609a
		si:dkey-222f8.3
		ctnnb2
		spint1a
		vhll
		ano5a
		agt
		si:dkeyp-19e1.3
		casp23
		zgc:194655
		orai1a
		gcnt7
		casp8
		pkma
		si:dkey-211g8.8
		vamp8
		sort1b
		herpud1
		nfkbiaa
		mbpb
		arf6b
		cd4-2.2
		si:ch73-208g10.1
		stat1a
		sash3
		hhla2a.1
		tp53
		tmem131l
		si:ch211-260e23.9
		plin2
		optn
		lrp12
		chmp2a
		fam53b
		wasa
		map4k6
		si:dkey-262k9.4
		prkacab
		mhc1uka
		golgb1
		ano6
		gnai1
		zgc:56585
		lpar5a
		b3gnt5a
		arpc1b
		si:dkeyp-4c4.2
		pik3c3
		sri
		abo
		h3f3d
		gzm3.2
		thrap3b
		dock4b
		myh11a
		cflara
		fam43a
		ero1b
		jak1
		tnfrsf9b
		si:dkey-185m8.2
		prkd4
		klhl22
		si:ch211-214p13.3
		kansl1b
		dnaja2a
		cdk5rap2
		plk3
		tnfrsf9a
		nr3c1
		ms4a17a.6
		ENSDARG00000012458
		sh3bp1
		wipf1b
		si:dkey-183i3.6
		txnipa
		si:ch73-261i21.2
		irak3
		malt1
		anxa11a
		mvb12a
		notch2
		il2rgb
		arhgef1a
		gtpbp1
		sat1a.2
		si:rp71-68n21.9
		coro1a
		msna
		il2rga
		si:ch1073-214b20.2
		si:ch211-213a13.5
		si:dkey-93n13.2
		selenow1
		parm1
		fam49ba
		mknk2b
		ppp1r12c
		igf2bp1
		si:ch211-132g1.1
		zgc:162182
		cd63
		si:dkey-56i24.1
		acap1
		gig2i
		rras2
		CABZ01026681.1
		cxcr3.1.1
		ap1s1
		themis
		si:dkeyp-75b4.9
		si:ch1073-220m6.1
		ncor2
		tpm1
		igf2bp2b
		litaf
		tspan2a
		zgc:162944
		vmp1
		cers2b
		cd226
		dub
		stxbp2
		prkacba
		ccnd2a
		F2RL3
		si:dkey-25e12.3
		chst11
		hif1ab
		trim44
		tox2
		slc9a3r1a
		atg9a
		ndfip2
		si:ch211-147k10.5
		vps4b
		slc6a22.1
		lat
		GCA
		nfkbiab
		cnksr3
		ponzr1
		pnrc2
		pim2
		cabp5a
		cep350
		tln1
		cxcr4a
		myl12.1
		clic1
		klhl24b
		BX005421.2
		tspan14
		rel
		shc1
		scamp2
		unc119b
		abca2
		irf1b
		cars1
		ucp2
		ankrd12
		ms4a17c.1
		bcl9l
		si:dkey-171c9.3
		si:ch211-250k18.7
		arpc2
		tprg1
		si:ch211-112c15.8
		capza1a
		si:dkey-211g8.5
		ets1
		tank
		pip4k2aa
		pcgf5b
		fermt3a
		si:dkey-118j18.2
		ppp1r9ba
		si:ch73-234b20.5
		si:ch211-11p18.6.1
		zgc:77650
		slc9a7
		oaz1b
		tnikb
		mt-co1
		ech1
		wbp2nl
		mbd2
		tax1bp1b
		scpep1
		lgals17
		fbxl3a
		si:dkey-266f7.10
		mfge8b
		ndfip1
		pkn1b
		acadvl
		zbtb32
		zgc:154055
		elf1
		kdm5bb
		hcls1
		ifi30
		zgc:66427
		adgre5b.3.1
		CU019662.1
		ccdc88b
		pik3cd
		slc6a9
		si:ch73-269m14.2
		ptbp1a
		si:ch73-22o12.1
		rcan1a
		mcl1a
		arhgap36
		rictora
		tpst1l
		tmem176l.3a
		foxp3a
		si:ch73-31d8.2
		si:rp71-36a1.5.1
		slc25a5
		bhlhe40
		ddx5
		FP102888.3
		arhgap27
		gabarapb
		ankrd11
		TESK1
		map1lc3b
		ncaldb
		dhx16
		nbeal2
		tpt1
		morc3a
		stat2
		tmc8
		si:ch73-226l13.2
		xaf1
		glsb
		shrprbck1r
		lect2l
		thap4
		acadm
		msi2a
		cebpg
		si:ch211-191j22.3
		si:ch211-156p11.1.1
		arhgap15
		fam177a1
		adam10a
		mob3a
		cmah
		nptna
		rplp2
		lnpep
		ddx3xa
		mhc1zea
		gpr184
		otud5a
		si:dkey-76b14.2
		hspa8
		si:dkey-19a16.5
		glud1a
		rtf2
		lrba
		gpr183a
		ftr91
		zgc:113232
		atxn7
		cab39l1
		srp54
		si:ch1073-209h18.1
		taf1
		tnfaip3
		lpin2
		osbpl3b
		si:dkey-111e8.5
		tnfsf10l4
		icn
		cd27
		bcl3
		gnai2a
		arpc3
		MAF1
		osbpl3a
		pam
		march5l
		zgc:113208
		sf3b1
		rhogd
		nt5c2a
		ptmaa
		si:ch211-213a13.2.1
		FQ976914.1
		pip5k1ba
		arhgdia
		aldocb
		mt-co3
		tbk1
		ginm1
		vaspa
		si:dkey-78o7.3
		akap13
		arhgap45a
		grnb
		napsa
		unc50
		si:ch1073-385f13.3
		limk1b
		traf3
		stk10
		man1a1
		si:ch211-150o23.2
		zmynd11
		eepd1
		zgc:101583
		pam16
		tmsb4x
		pabpc1a
		si:dkeyp-61b2.1
		ikzf4
		si:ch211-226m16.2
		si:ch211-189a15.5
		tnfsf13b
		zgc:152774
		nlrc3
		si:dkey-9k7.3
		tmbim4
		RASA2
		si:dkey-53k12.1
		zmat2
		si:dkey-217f16.1
		eno3
		CR381673.1
		rbpjb
		camk1db
		nuggc.3
		cpne1
		zc3h7ba
		mfsd6b
		crlf3
		rhof
		si:dkey-27h10.2
		bcl6aa
		rap1b
		ralbp1
		si:ch211-212k18.4
		susd6
		n4bp2
		usp9
		si:ch73-173p19.1
		si:dkeyp-13a3.10
		ctsz
		lrrfip1a
		zswim5
		serf2
		nab1a
		elmo1
		spns1
		si:dkeyp-82a1.6
		si:ch211-197h24.8
		ttc3
		si:dkey-37m8.11
		nuggc.1
		slu7
		serinc1
		tp63
		rps6ka1
		stk17al
		rnf130
		ssuh2.4
		gmds
		si:ch73-361p23.3
		myo18ab
		rab43
		fcho1
		si:dkey-192g7.3
		smarca5
		mxd
		ercc1
		slc25a55a
		mark2b
		mt-co2
		rabac1
		krt8
		eif3f
		casp7
		pld2
		gnb1a
		eif4g2b
		si:ch73-95l15.5
		Sep-02
		srrm2
		palm3
		sc:d217
		rnf19a
		ppp2r5cb
		rp2
		ube2a
		arrb2b
		srebf2
		def6b
		ncl
		etfdh
		cd28
		cblb
		prkchb
		hectd1
		LO018430.2
		ftr50.2
		Mar-06
		tfe3a
		traf3ip2l
		atp2a3
		rnf216
		gpatch8
		wasf2
		acin1a
		bmi1a
		irf4a
		lpar2a
		hsd3b7
		lck
		si:cabz01101003.1
		sec61a1l
		smg6
		ctsh
		cib1
		rab35b
		slc25a36a
		nipblb
		ddx6
		hnrnpaba
		selenok
		fam193a
		ptpn4b
		ndfip1l
		chd2
		ctsc
		ascl1b
		si:dkeyp-9d4.2
		csnk1a1
		tapbpl
		c1galt1c1
		ifi46
		si:dkey-16p6.1.17
		UBB
		nlrc5
		smg1
		hipk3a
		csnk1g1
		rnaseka
		ist1
		adssl
		plekho2
		gpr155a
		plcg1
		wipf1a
		pcsk7
		si:dkey-238k10.3.1
		ubxn6
		sept7b
		iqgap1
		stx4
		si:ch211-244b2.4
		tp53inp1
		prkcaa
		supt6h
		tmem59
		nat16l
		capn2a
		st8sia4
		cxcr5
		rnf114
		cox4i1
		def6a
		cmtm6
		ube2d1b
		Sep-12
		trabd
		CABZ01109481.1
		rab11fip3
		cfap300
		agap2
		myh9b
		isg15
		zbtb7c
		si:ch211-256a21.4
		edem1
		otud5b
		si:dkey-18p12.4
		dusp22b
		inpp5d
		psmb10
		mfng
		nfic
		bbx
		acin1b
		itgb2
		baz2ba
		ciarta
		gnb1b
		cirbpb
		cpdp
		dnmbp
		gtf2b
		foxj3
		tcf15
		kmt2ba
		si:ch211-201o1.1
		tmtc2a
		hmgn2
		ikzf1
		nfatc2ip
		rbm14b
		herpud2
		lrp10
		cep85l
		tspy
		serpine2
		CT583625.1
		ddx3xb
		mt-cyb
		si:ch211-212k18.7
		mmp13b
		CABZ01088367.1
		syncrip
		si:cabz01030277.1
		RASSF5
		tmem154
		atrx
		trpc4apa
		kcnq5a
		helz2
		krt18b
		FBXO48
		mical1
		usp32
		arpc4
